Month,RAINHHMXSmooth,AMP_R,RAINHHMX
1,0.35625173456202,0.1,0.16491397849462364
2,0.6308447438863937,0.1,0.4295696202531645
3,1.074773761364131,0.1,1.298050632911393
4,1.698054476181704,0.1,1.4967010309278357
5,1.989448601780819,0.1,2.299411764705883
6,2.338932438929167,0.15144764732738358,2.172233009708738
7,2.3026323933295316,0.1,2.5451525423728802
8,2.3429691378410338,0.10925179482083136,2.190511627906977
9,2.210795483365863,0.1,2.2932432432432437
10,2.0455220600717676,0.1,2.1486315789473682
11,1.439198180636777,0.1,1.6946913580246916
12,0.7779589804858622,0.1,0.4742716049382717
